"year","mean","median","lcl","ucl"
2015,0.997,1,1,1
2016,0.996,1,1,1
2017,0.997,1,1,1
2018,0.994,1,1,1
2019,0.995,1,1,1
2020,0.992,1,1,1
2021,0.992,1,1,1
2022,0.986,1,1,1
2023,0.993,1,1,1
2024,0.986,1,1,1
2025,0.986,1,1,1
2026,0.984,1,1,1
2027,0.98,1,1,1
2028,0.971,1,1,1
2029,0.982,1,1,1
2030,0.976,1,1,1
2031,0.97,1,1,1
2032,0.971,1,1,1
2033,0.968,1,1,1
2034,0.961000000000001,1,1,1
2035,0.946999999999999,1,0,1
2036,0.952999999999999,1,1,1
2037,0.952000000000001,1,1,1
2038,0.943,1,0,1
2039,0.943,1,0,1
2040,0.927,1,0,1
2041,0.93,1,0,1
2042,0.922999999999999,1,0,1
2043,0.928000000000001,1,0,1
2044,0.936,1,0,1
2045,0.924,1,0,1
