"year","mean","median","lcl","ucl"
2015,0.00700000000000012,0,0,0
2016,0.00899999999999984,0,0,0
2017,0.0100000000000002,0,0,0
2018,0.00899999999999984,0,0,0
2019,0.00899999999999984,0,0,0
2020,0.012,0,0,0
2021,0.0110000000000001,0,0,0
2022,0.012,0,0,0
2023,0.016,0,0,0
2024,0.016,0,0,0
2025,0.016,0,0,0
2026,0.0190000000000001,0,0,0
2027,0.0220000000000003,0,0,0
2028,0.0280000000000005,0,0,0
2029,0.0260000000000002,0,0,0
2030,0.0299999999999996,0,0,0
2031,0.0370000000000004,0,0,0
2032,0.0359999999999994,0,0,0
2033,0.0419999999999991,0,0,0
2034,0.0440000000000005,0,0,0
2035,0.0440000000000005,0,0,0
2036,0.0419999999999991,0,0,0
2037,0.0440000000000005,0,0,0
2038,0.0440000000000005,0,0,0
2039,0.0460000000000005,0,0,0
2040,0.0470000000000005,0,0,0
2041,0.0530000000000006,0,0,1
2042,0.0580000000000002,0,0,1
2043,0.0599999999999993,0,0,1
2044,0.065999999999999,0,0,1
2045,0.0629999999999992,0,0,1
